City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Carballo,43.21,-8.69,64.99,86,81,5.01,ES,2020-06-21 05:36:11
1,Carballo,43.21,-8.69,64.99,86,81,5.01,ES,2020-06-21 05:36:11
2,Carballo,43.21,-8.69,64.99,84,81,3.0,ES,2020-06-21 05:47:46
